Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
HDF_FS1_p25	170	1165	4593	616	600	363	135	334	85	163
HDF_FS1_p35	16	114	5	21	131	1976	136	136	131	69
HDF_FS1_p45	388	946	174	4116	262	797	191	386	25	18
HDF_FS1_p55	6373	1590	5107	4510	2353	1339	887	0	0	112
HDF_FS1_p65	123	130	111	198	2835	116	78	146	86	125
HDF_Fm2_p25	50	109	13	90	0	0	0	79	2075	110
HDF_Fm2_p35	1626	8104	32	772	1312	985	1879	122	1098	210
HDF_Fm2_p45	300	0	463	200	259	221	3510	146	700	141
HDF_Fm2_p55	61658	11081	20929	13395	6046	6212	1400	3022	1189	118
HDF_Fm2_p65	55840	19213	8019	11147	6104	1875	2704	2464	68	1026
NU01_US2_p23	0	0	0	0	0	0	7	0	0	618
NU01_US2_p25	0	0	6	0	0	0	2	693	0	10
