Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
HDF_FS1_p25	5.79E+01	1.15E+02	9.92E+01	9.62E+01	9.12E+01	6.58E+01	5.59E+01	3.91E+01	1.50E+01	2.00E+01
HDF_FS1_p35	1.12E+01	1.68E+01	1.62E+01	2.09E+01	2.83E+01	2.68E+01	2.50E+01	1.59E+01	1.48E+01	9.48E+00
HDF_FS1_p45	7.09E+01	9.23E+01	8.66E+01	7.77E+01	7.54E+01	7.66E+01	5.17E+01	2.90E+01	1.70E+01	9.30E+00
HDF_FS1_p55	1.75E+02	1.67E+02	2.26E+02	1.92E+02	1.62E+02	1.12E+02	9.27E+01	2.33E+01	1.91E+01	3.01E+01
HDF_FS1_p65	3.00E+01	4.13E+01	4.16E+01	5.03E+01	5.27E+01	3.47E+01	3.00E+01	2.01E+01	1.19E+01	1.42E+01
HDF_Fm2_p25	1.14E+01	1.50E+01	9.48E+00	1.43E+01	1.01E+01	4.67E+00	2.84E+01	1.15E+01	2.29E+01	1.22E+01
HDF_Fm2_p35	1.82E+02	1.62E+02	1.36E+02	1.65E+02	1.61E+02	9.95E+01	1.71E+02	5.59E+01	7.77E+01	3.06E+01
HDF_Fm2_p45	4.22E+01	6.85E+01	7.07E+01	5.37E+01	5.58E+01	4.45E+01	8.67E+01	2.76E+01	5.43E+01	2.25E+01
HDF_Fm2_p55	1.25E+03	1.42E+03	1.44E+03	1.24E+03	8.15E+02	4.53E+02	2.91E+02	3.04E+02	1.72E+02	1.50E+02
HDF_Fm2_p65	1.15E+03	1.33E+03	1.24E+03	1.09E+03	7.17E+02	3.87E+02	2.89E+02	2.59E+02	1.48E+02	1.31E+02
NU01_US2_p23	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.26E+00	4.20E-01	0.00E+00	3.28E+00
NU01_US2_p25	1.26E+00	0.00E+00	3.84E+00	0.00E+00	2.85E+00	1.55E+00	0.00E+00	5.48E+00	0.00E+00	2.16E+00
