NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	900.258	26.024	129.39	27.197	0.1	0.85	20000.0
2	888.262	25.229	128.125	26.654	0.092	0.862	20000.0
3	856.674	24.609	124.346	26.349	0.095	0.86	30000.0
4	876.64	25.187	125.498	26.493	0.095	0.858	20000.0
5	890.041	25.391	127.477	27.006	0.095	0.852	20000.0
6	900.872	25.378	130.602	27.006	0.097	0.856	20000.0
7	917.11	26.308	131.342	27.543	0.102	0.848	20000.0
8	878.353	25.359	127.57	26.617	0.093	0.86	20000.0
9	875.809	25.257	127.919	26.854	0.098	0.856	20000.0
10	922.451	25.978	133.072	27.494	0.097	0.853	20000.0
11	898.797	25.878	130.164	27.454	0.098	0.85	20000.0
12	875.115	25.421	126.107	26.986	0.098	0.853	20000.0
13	873.99	25.528	125.728	26.881	0.101	0.852	20000.0
14	894.355	25.584	130.606	27.283	0.095	0.852	20000.0
15	901.118	25.939	129.184	27.111	0.102	0.853	20000.0
16	894.288	25.567	131.433	27.322	0.098	0.853	20000.0
17	892.43	25.627	128.226	26.834	0.1	0.858	20000.0
18	883.01	25.234	128.054	27.077	0.099	0.85	20000.0
19	892.146	25.12	128.519	26.758	0.095	0.857	20000.0
20	883.678	25.168	128.039	26.563	0.094	0.862	20000.0
21	873.556	25.65	123.942	26.672	0.098	0.856	20000.0
22	902.865	25.826	128.601	27.097	0.099	0.852	20000.0
23	905.535	26.706	129.548	27.597	0.102	0.846	20000.0
24	877.366	25.66	128.686	26.881	0.097	0.857	20000.0
25	898.136	25.886	128.333	27.342	0.102	0.848	20000.0
26	894.97	25.683	129.635	27.474	0.102	0.85	20000.0
27	871.204	24.439	126.939	26.342	0.087	0.862	20000.0
28	875.84	25.781	126.143	27.359	0.103	0.847	20000.0
29	884.066	26.133	126.999	27.221	0.103	0.847	20000.0
30	874.087	25.525	125.543	26.901	0.099	0.853	30000.0
31	890.021	25.864	127.919	27.014	0.101	0.854	20000.0
32	899.037	25.338	129.533	26.697	0.096	0.858	20000.0
33	876.597	25.084	126.029	26.563	0.095	0.858	20000.0
34	891.556	25.689	129.968	27.381	0.098	0.849	20000.0
35	912.709	26.267	129.797	27.483	0.103	0.85	20000.0
36	865.865	25.283	123.435	26.859	0.097	0.851	20000.0
37	870.419	24.916	124.015	26.244	0.093	0.861	20000.0
38	908.368	25.644	130.798	27.292	0.097	0.852	20000.0
39	877.912	25.781	126.8	27.314	0.104	0.846	20000.0
40	880.085	25.481	125.329	27.118	0.099	0.848	20000.0
41	897.078	26.097	129.884	27.502	0.102	0.848	20000.0
42	906.645	26.651	130.711	28.073	0.107	0.839	20000.0
43	890.955	25.643	128.391	27.008	0.097	0.854	20000.0
44	883.055	25.575	125.966	26.843	0.098	0.853	20000.0
45	879.448	25.178	126.41	26.584	0.094	0.856	20000.0
46	889.166	25.906	126.887	27.352	0.103	0.845	20000.0
47	902.704	25.626	130.34	27.004	0.094	0.857	20000.0
48	897.978	25.834	128.204	27.005	0.103	0.853	20000.0
49	903.976	26.508	131.544	27.767	0.105	0.847	20000.0
50	877.842	25.077	127.277	26.562	0.096	0.858	20000.0
51	927.288	26.688	134.158	27.99	0.104	0.847	20000.0
52	889.127	25.446	125.63	26.721	0.096	0.854	20000.0
53	867.351	25.61	125.354	27.065	0.098	0.852	20000.0
54	916.288	26.433	132.135	27.693	0.101	0.848	20000.0
55	916.301	25.294	132.694	27.051	0.096	0.854	20000.0
56	903.222	25.929	128.33	27.043	0.096	0.854	20000.0
57	871.232	25.47	125.356	26.715	0.1	0.855	20000.0
58	890.889	25.814	128.951	26.973	0.097	0.854	20000.0
59	871.799	25.14	125.684	26.715	0.096	0.854	20000.0
60	905.101	26.368	129.117	27.732	0.102	0.841	20000.0
61	903.913	26.263	131.776	27.96	0.102	0.843	20000.0
62	912.593	26.556	131.589	28.131	0.105	0.841	20000.0
63	896.71	26.056	128.259	27.305	0.102	0.849	20000.0
64	894.661	25.909	128.218	26.871	0.099	0.857	20000.0
65	882.733	25.607	127.392	27.129	0.099	0.851	20000.0
66	879.486	25.595	128.752	27.303	0.1	0.85	20000.0
67	889.075	25.106	129.39	26.758	0.095	0.859	20000.0
68	883.811	26.022	127.006	27.375	0.103	0.845	20000.0
69	885.391	25.366	127.875	26.943	0.094	0.855	20000.0
70	906.852	25.93	128.347	27.233	0.099	0.85	20000.0
71	874.754	25.172	127.047	26.758	0.098	0.856	20000.0
72	882.109	26.065	126.489	27.291	0.104	0.845	20000.0
73	906.708	25.951	129.894	27.086	0.098	0.856	20000.0
74	873.283	25.43	125.602	26.829	0.095	0.855	20000.0
75	897.958	26.458	128.549	27.504	0.104	0.844	20000.0
76	871.765	25.812	126.281	26.983	0.1	0.852	20000.0
77	903.38	25.819	130.091	27.312	0.099	0.851	20000.0
78	850.532	25.155	121.775	26.498	0.097	0.852	20000.0
79	894.694	25.924	127.663	27.26	0.103	0.849	20000.0
80	899.242	26.789	127.381	27.881	0.105	0.836	20000.0
81	899.437	25.642	128.711	27.007	0.101	0.853	20000.0
82	900.971	25.951	130.927	27.205	0.105	0.852	20000.0
83	873.061	25.097	125.726	26.681	0.097	0.853	20000.0
84	867.99	25.618	125.421	27.003	0.099	0.85	20000.0
85	899.833	26.368	130.886	27.43	0.105	0.851	20000.0
86	883.502	26.155	126.882	27.479	0.102	0.845	20000.0
87	875.111	25.699	127.516	27.124	0.096	0.852	20000.0
88	901.447	25.531	129.1	26.629	0.095	0.861	20000.0
89	902.466	25.84	128.602	27.47	0.101	0.844	20000.0
90	916.477	26.697	131.736	28.071	0.106	0.839	20000.0
91	871.811	25.031	126.967	26.72	0.099	0.856	20000.0
92	919.672	26.513	132.706	27.862	0.103	0.845	20000.0
93	901.12	25.967	130.06	27.557	0.101	0.848	20000.0
94	901.29	25.413	131.274	27.024	0.096	0.857	20000.0
95	881.781	25.999	126.817	27.378	0.102	0.848	20000.0
96	881.217	25.393	126.112	26.827	0.097	0.853	20000.0
97	913.279	26.665	128.501	27.622	0.103	0.843	20000.0
98	900.962	26.062	128.095	27.097	0.099	0.853	20000.0
99	920.617	26.662	132.059	27.91	0.106	0.846	20000.0
100	871.757	25.734	126.075	26.901	0.102	0.854	20000.0
