Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
HDF_FS1_p25	9.78E+01	1.55E+02	1.40E+02	3.19E+01	1.78E+01
HDF_FS1_p35	1.75E+01	6.14E+01	5.57E+01	2.48E+01	1.57E+01
HDF_FS1_p45	8.83E+01	1.33E+02	1.23E+02	2.55E+01	2.27E+01
HDF_FS1_p55	3.02E+02	3.37E+02	2.31E+02	5.29E+01	2.49E+01
HDF_FS1_p65	3.35E+01	8.26E+01	7.67E+01	2.06E+01	9.67E+00
HDF_Fm2_p25	1.84E+01	1.48E+01	2.32E+01	2.22E+01	2.38E+01
HDF_Fm2_p35	1.95E+02	2.09E+02	1.41E+02	2.67E+01	4.67E+01
HDF_Fm2_p45	5.99E+01	8.15E+01	5.11E+01	3.46E+01	4.34E+01
HDF_Fm2_p55	2.06E+03	2.39E+03	1.25E+03	3.89E+02	1.81E+02
HDF_Fm2_p65	1.86E+03	2.17E+03	1.08E+03	3.22E+02	1.56E+02
NU01_US2_p23	1.68E+00	1.30E-01	2.82E+00	3.70E+00	1.77E+00
NU01_US2_p25	8.44E+00	2.57E+00	1.63E+01	1.57E+01	5.82E+00
