Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
HDF_FS1_p25	9.31E+01	1.79E+02	1.50E+02	1.14E+02	4.05E+01	2.07E+01
HDF_FS1_p35	1.40E+01	8.09E+01	5.94E+01	6.90E+01	2.15E+01	1.59E+01
HDF_FS1_p45	8.40E+01	1.37E+02	1.28E+02	9.68E+01	2.24E+01	2.25E+01
HDF_FS1_p55	2.46E+02	2.45E+02	2.49E+02	1.82E+02	4.77E+01	2.25E+01
HDF_FS1_p65	3.10E+01	8.11E+01	7.82E+01	5.87E+01	2.07E+01	1.04E+01
HDF_Fm2_p25	1.44E+01	1.75E+01	1.59E+01	2.90E+01	1.84E+01	2.50E+01
HDF_Fm2_p35	1.87E+02	2.00E+02	2.04E+02	1.25E+02	2.54E+01	5.81E+01
HDF_Fm2_p45	6.95E+01	5.89E+01	9.16E+01	5.77E+01	3.70E+01	5.27E+01
HDF_Fm2_p55	1.68E+03	1.63E+03	1.65E+03	1.06E+03	3.40E+02	1.64E+02
HDF_Fm2_p65	1.54E+03	1.44E+03	1.51E+03	9.45E+02	2.94E+02	1.53E+02
NU01_US2_p23	1.80E-01	2.02E+00	4.60E-01	0.00E+00	2.16E+00	4.80E-01
NU01_US2_p25	5.29E+00	4.37E+00	2.23E+00	2.39E+01	2.14E+01	6.15E+00
