Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
HDF_FS1_p25	9.33E+01	1.13E+02	1.20E+02	1.02E+02	9.84E+01	5.50E+01	2.23E+01	3.37E+01
HDF_FS1_p35	6.30E+00	2.48E+01	2.64E+01	6.35E+01	4.19E+01	4.45E+01	1.60E+01	1.35E+01
HDF_FS1_p45	7.71E+01	1.22E+02	1.10E+02	1.13E+02	6.26E+01	5.66E+01	2.19E+01	2.12E+01
HDF_FS1_p55	1.73E+02	2.00E+02	2.16E+02	1.51E+02	1.28E+02	7.45E+01	1.97E+01	4.03E+01
HDF_FS1_p65	2.21E+01	9.02E+01	8.94E+01	7.00E+01	5.61E+01	3.73E+01	8.51E+00	2.45E+01
HDF_Fm2_p25	1.01E+01	1.47E+01	7.73E+00	6.67E+00	1.64E+01	2.03E+01	2.24E+01	1.66E+01
HDF_Fm2_p35	1.59E+02	2.37E+02	1.82E+02	1.49E+02	1.83E+02	9.42E+01	7.75E+01	3.41E+01
HDF_Fm2_p45	4.27E+01	6.13E+01	8.71E+01	6.76E+01	1.19E+02	7.65E+01	5.34E+01	4.83E+01
HDF_Fm2_p55	1.15E+03	1.42E+03	1.38E+03	9.10E+02	9.02E+02	4.54E+02	1.73E+02	2.25E+02
HDF_Fm2_p65	1.05E+03	1.28E+03	1.20E+03	7.53E+02	8.21E+02	3.91E+02	1.50E+02	1.97E+02
NU01_US2_p23	1.42E+00	0.00E+00	3.36E+00	2.26E+00	0.00E+00	1.80E+00	0.00E+00	4.53E+00
NU01_US2_p25	1.36E+00	6.00E-01	2.65E+00	2.65E+00	4.24E+00	2.25E+01	3.63E+00	1.87E+01
