Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
HDF_FS1_p25	8224	1.0	229.825	2.795%	29.164	2.613%	0.0008	0.999
HDF_FS1_p35	2735	0.999	94.808	3.466%	13.27	3.62%	0.00126	0.998
HDF_FS1_p45	7303	1.0	212.294	2.907%	28.279	2.879%	0.00074	0.999
HDF_FS1_p55	22271	0.999	833.079	3.741%	115.741	3.818%	0.00142	0.998
HDF_FS1_p65	3948	0.998	277.107	7.019%	36.482	6.842%	0.00515	0.995
HDF_Fm2_p25	2526	1.0	43.108	1.707%	6.173	1.841%	0.00028	1.0
HDF_Fm2_p35	16140	0.999	752.177	4.66%	109.645	5.116%	0.00196	0.997
HDF_Fm2_p45	5940	0.998	300.038	5.051%	42.955	5.614%	0.00231	0.996
HDF_Fm2_p55	125050	1.0	2776.115	2.22%	390.322	2.3%	0.00042	0.999
HDF_Fm2_p65	108460	1.0	2019.946	1.862%	305.045	2.079%	0.00033	0.999
NU01_US2_p23	625	0.998	38.264	6.122%	5.649	6.598%	0.00376	0.995
NU01_US2_p25	711	0.996	61.639	8.669%	8.942	9.511%	0.01176	0.989
