Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
HDF_FS1_p25	884	4524	0	1853	197	93	543	107	23
HDF_FS1_p35	0	0	8	142	127	2034	197	150	77
HDF_FS1_p45	656	151	4627	367	529	555	365	53	0
HDF_FS1_p55	7308	5651	4951	1713	1054	1311	0	0	283
HDF_FS1_p65	0	811	1069	1041	0	536	80	12	399
HDF_Fm2_p25	45	92	24	0	36	0	74	2090	165
HDF_Fm2_p35	2883	0	0	8528	2647	251	514	1317	0
HDF_Fm2_p45	181	734	182	0	3338	286	160	651	408
HDF_Fm2_p55	68384	22243	15865	3028	4575	5949	3646	1360	0
HDF_Fm2_p65	62312	7656	14031	11718	6925	1558	3195	269	796
NU01_US2_p23	0	0	0	8	0	0	0	0	617
NU01_US2_p25	0	0	0	0	0	0	699	0	12
