,gene,Mut-S1,Mut-S2,Mut-S3,Mut-S4,Mut-S5,DESeq-S1,DESeq-S2,DESeq-S3,DESeq-S4,DESeq-S5,Correlation,P-value
0,ENSG00000230424.1,0.00,0.00,0.00,0.34,0.00,0.97,0.91,0.81,0.07,0.71,-0.96,0.01
1,ENSG00000130772.13,0.00,0.00,0.00,0.73,0.00,-0.25,-0.38,-0.54,-0.92,-0.27,-0.91,0.03
2,ENSG00000121774.17,0.00,0.00,0.00,7.96,0.00,0.53,0.46,0.30,-0.05,0.31,-0.90,0.04
3,ENSG00000186790.5,0.00,0.00,0.00,1.51,0.00,3.10,3.53,2.64,0.77,2.82,-0.95,0.01
4,ENSG00000157077.14,0.00,0.00,2.85,22.57,0.00,-0.24,-0.24,-0.19,-0.38,-0.23,-0.92,0.03
5,ENSG00000162377.5,0.00,0.00,0.00,0.69,0.00,0.59,0.66,0.75,0.29,0.56,-0.90,0.04
6,ENSG00000116171.17,0.00,0.00,0.00,4.00,0.00,-2.33,-2.33,-2.41,-2.68,-2.34,-0.97,0.00
7,ENSG00000162613.16,0.00,0.00,2.46,7.44,0.00,1.26,1.19,1.17,1.06,1.27,-0.94,0.02
8,ENSG00000142875.19,0.00,0.00,0.00,0.60,0.00,-0.99,-1.16,-0.85,-1.52,-1.04,-0.90,0.04
9,ENSG00000143079.14,0.00,0.00,0.00,1.09,0.00,-0.96,-1.06,-0.83,-1.42,-0.89,-0.93,0.02
10,ENSG00000009307.15,0.00,0.00,1.07,27.59,0.00,-0.23,-0.18,-0.11,-0.58,-0.18,-0.97,0.01
11,ENSG00000173218.14,0.00,0.00,0.00,3.86,0.00,-0.38,-0.42,-0.37,-0.80,-0.56,-0.91,0.03
12,ENSG00000159164.9,0.00,0.00,0.60,3.01,0.00,0.48,0.39,0.42,0.21,0.40,-0.91,0.03
13,ENSG00000132718.8,0.00,0.00,0.00,5.57,0.00,-1.30,-1.34,-1.51,-2.27,-1.36,-0.98,0.00
14,ENSG00000116586.11,0.00,0.00,0.00,3.16,0.00,-0.23,-0.27,-0.51,-0.84,-0.32,-0.91,0.03
15,ENSG00000027869.11,0.00,0.00,0.50,0.00,0.00,3.19,3.32,2.29,2.94,3.00,-0.92,0.02
16,ENSG00000143222.11,0.00,0.00,0.00,1.03,0.00,-0.53,-0.62,-0.40,-1.02,-0.61,-0.92,0.03
17,ENSG00000134371.11,0.00,0.00,0.36,16.88,0.00,0.30,0.32,0.20,-0.13,0.17,-0.94,0.02
18,ENSG00000143845.14,0.00,0.00,3.44,5.82,0.00,2.21,2.32,2.14,1.86,2.34,-0.94,0.02
19,ENSG00000136643.11,0.00,0.00,1.68,7.12,0.00,-0.38,-0.35,-0.31,-0.55,-0.31,-0.90,0.04
20,ENSG00000117791.15,0.00,0.00,0.68,0.00,0.00,-0.11,-0.11,-0.57,-0.02,-0.19,-0.96,0.01
21,ENSG00000154380.17,0.00,0.00,0.50,14.53,0.00,1.45,1.38,1.31,0.92,1.30,-0.96,0.01
