Samples	SBS96A	SBS96B	SBS96C	SBS96D
HDF_FS1_p25	1.17E+02	1.12E+02	2.87E+01	1.57E+01
HDF_FS1_p35	2.71E+01	2.81E+01	2.02E+01	1.19E+01
HDF_FS1_p45	9.01E+01	8.40E+01	2.60E+01	1.57E+01
HDF_FS1_p55	3.23E+02	3.27E+02	5.62E+01	2.85E+01
HDF_FS1_p65	4.31E+01	3.65E+01	2.09E+01	9.20E+00
HDF_Fm2_p25	1.96E+01	1.49E+01	2.23E+01	2.20E+01
HDF_Fm2_p35	2.04E+02	2.10E+02	8.71E+00	3.58E+01
HDF_Fm2_p45	6.47E+01	6.20E+01	2.34E+01	2.28E+01
HDF_Fm2_p55	2.00E+03	2.12E+03	3.59E+02	1.65E+02
HDF_Fm2_p65	1.79E+03	1.91E+03	2.99E+02	1.51E+02
NU01_US2_p23	4.40E-01	1.09E+00	2.60E+00	2.38E+00
NU01_US2_p25	5.84E+00	5.60E+00	8.22E+00	4.89E+00
