Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
HDF_FS1_p25	1165	3880	1218	967	556	438	0
HDF_FS1_p35	0	0	1894	65	570	16	190
HDF_FS1_p45	1137	4181	1087	116	446	0	336
HDF_FS1_p55	8392	7650	4087	1320	0	822	0
HDF_FS1_p65	11	1978	1240	132	127	410	50
HDF_Fm2_p25	112	91	0	0	96	159	2068
HDF_Fm2_p35	3709	1561	1246	7187	681	0	1756
HDF_Fm2_p45	210	0	143	3512	141	784	1150
HDF_Fm2_p55	74392	20562	17253	5095	3707	3384	657
HDF_Fm2_p65	67400	14348	7888	12036	4297	1988	503
NU01_US2_p23	0	0	0	2	0	623	0
NU01_US2_p25	0	0	0	0	461	214	36
