Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
HDF_FS1_p25	1.09E+02	1.76E+02	1.53E+02	1.37E+02	9.86E+01	3.73E+01	2.54E+01
HDF_FS1_p35	9.08E+00	1.88E+01	6.71E+01	4.16E+01	5.57E+01	1.75E+01	1.59E+01
HDF_FS1_p45	1.02E+02	1.65E+02	1.28E+02	1.11E+02	5.98E+01	1.86E+01	2.21E+01
HDF_FS1_p55	2.48E+02	2.22E+02	2.00E+02	2.47E+02	1.45E+02	4.95E+01	2.10E+01
HDF_FS1_p65	3.82E+01	8.78E+01	8.31E+01	6.40E+01	5.24E+01	2.28E+01	1.13E+01
HDF_Fm2_p25	1.66E+01	1.95E+01	8.65E+00	8.49E+00	1.92E+01	1.84E+01	2.35E+01
HDF_Fm2_p35	1.62E+02	2.23E+02	1.53E+02	2.01E+02	1.01E+02	3.51E+01	6.59E+01
HDF_Fm2_p45	3.49E+01	5.90E+01	5.37E+01	7.99E+01	6.39E+01	4.53E+01	5.31E+01
HDF_Fm2_p55	1.94E+03	1.70E+03	1.14E+03	1.81E+03	1.00E+03	2.92E+02	1.91E+02
HDF_Fm2_p65	1.75E+03	1.58E+03	9.76E+02	1.63E+03	9.32E+02	2.51E+02	1.88E+02
NU01_US2_p23	0.00E+00	3.77E+00	0.00E+00	7.51E-01	3.81E+00	5.32E+00	1.06E+00
NU01_US2_p25	4.41E+00	6.95E-01	2.47E+00	2.80E-01	2.61E+01	2.23E+01	4.83E+00
