Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
HDF_FS1_p25	1119	36	5318	461	442	696	133	19
HDF_FS1_p35	0	0	0	2007	197	365	166	0
HDF_FS1_p45	763	4786	0	990	0	473	133	158
HDF_FS1_p55	7815	4923	5514	2868	423	0	0	728
HDF_FS1_p65	0	1190	1377	836	0	145	55	345
HDF_Fm2_p25	54	34	63	42	0	65	2086	182
HDF_Fm2_p35	3481	3547	198	429	6581	924	980	0
HDF_Fm2_p45	347	0	510	210	3152	0	906	815
HDF_Fm2_p55	71084	14178	20395	10681	567	5586	1707	852
HDF_Fm2_p65	64676	18220	6272	4260	8444	5252	0	1336
NU01_US2_p23	0	0	0	0	3	0	0	622
NU01_US2_p25	0	0	0	0	0	624	0	87
