Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
HDF_FS1_p25	8.37E+01	1.23E+02	1.01E+02	1.42E+02	6.40E+01	8.02E+01	4.49E+01	2.00E+01	3.02E+01
HDF_FS1_p35	8.45E+00	1.97E+01	2.33E+01	2.55E+01	2.32E+01	3.59E+01	2.50E+01	1.46E+01	1.14E+01
HDF_FS1_p45	6.98E+01	9.46E+01	1.32E+02	1.28E+02	6.47E+01	7.57E+01	3.66E+01	2.04E+01	1.96E+01
HDF_FS1_p55	1.75E+02	2.02E+02	2.00E+02	1.73E+02	1.02E+02	1.36E+02	3.43E+01	2.00E+01	4.10E+01
HDF_FS1_p65	1.82E+01	8.69E+01	9.46E+01	9.51E+01	4.53E+01	6.12E+01	2.72E+01	8.69E+00	2.34E+01
HDF_Fm2_p25	9.04E+00	1.27E+01	1.37E+01	9.72E+00	2.16E+01	6.35E+00	1.81E+01	2.12E+01	1.62E+01
HDF_Fm2_p35	1.71E+02	1.06E+02	1.74E+02	2.17E+02	1.96E+02	1.26E+02	8.22E+01	7.84E+01	2.37E+01
HDF_Fm2_p45	3.37E+01	8.22E+01	5.31E+01	7.21E+01	7.94E+01	5.49E+01	3.68E+01	5.37E+01	4.31E+01
HDF_Fm2_p55	1.31E+03	1.40E+03	1.45E+03	1.30E+03	3.72E+02	7.03E+02	3.20E+02	1.87E+02	2.20E+02
HDF_Fm2_p65	1.19E+03	1.26E+03	1.27E+03	1.21E+03	3.54E+02	6.02E+02	2.79E+02	1.56E+02	1.93E+02
NU01_US2_p23	5.60E-01	3.60E+00	2.94E+00	0.00E+00	3.99E+00	0.00E+00	3.46E+00	0.00E+00	6.81E+00
NU01_US2_p25	0.00E+00	3.80E+00	3.52E+00	0.00E+00	2.09E+00	4.43E+00	1.33E+01	1.62E+00	9.71E+00
