NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	213.188	4.18	30.699	4.592	0.002	0.997	110000.0
2	203.22	4.595	28.625	5.003	0.003	0.996	70000.0
3	181.153	3.234	25.45	3.384	0.002	0.998	60000.0
4	190.128	3.37	27.515	3.785	0.002	0.997	50000.0
5	195.848	4.76	27.621	5.098	0.003	0.996	140000.0
6	183.847	4.997	25.57	5.158	0.005	0.994	110000.0
7	175.269	3.719	25.507	4.115	0.002	0.997	50000.0
8	185.247	3.855	25.716	4.128	0.002	0.997	60000.0
9	188.098	4.517	26.74	4.961	0.003	0.996	100000.0
10	187.37	4.988	27.037	5.562	0.006	0.993	80000.0
11	177.621	4.462	26.208	4.995	0.003	0.995	70000.0
12	195.749	4.699	28.301	5.362	0.005	0.994	80000.0
13	191.807	3.526	27.423	3.786	0.001	0.998	120000.0
14	186.546	4.333	25.578	4.49	0.003	0.996	160000.0
15	192.28	3.508	28.036	3.803	0.002	0.998	110000.0
16	182.381	3.457	25.775	3.645	0.002	0.998	250000.0
17	239.232	3.704	35.604	4.131	0.001	0.998	70000.0
18	190.967	3.77	26.291	3.891	0.002	0.998	120000.0
19	185.87	5.557	27.082	5.774	0.007	0.991	80000.0
20	214.037	4.335	31.424	4.851	0.002	0.996	120000.0
21	207.387	3.256	30.213	3.567	0.001	0.998	100000.0
22	226.192	4.278	32.506	4.656	0.002	0.997	30000.0
23	198.757	4.568	27.915	4.854	0.003	0.995	120000.0
24	195.826	3.832	28.249	4.104	0.002	0.998	40000.0
25	196.024	3.621	27.913	3.99	0.002	0.997	60000.0
26	226.898	4.124	32.032	4.324	0.002	0.997	40000.0
27	167.723	4.655	24.318	5.396	0.005	0.992	110000.0
28	202.118	4.737	28.1	4.831	0.004	0.996	50000.0
29	202.934	3.89	29.078	4.195	0.002	0.998	90000.0
30	212.903	4.117	29.683	4.382	0.002	0.997	60000.0
31	226.879	4.056	32.56	4.41	0.002	0.997	100000.0
32	191.112	3.468	28.131	3.752	0.002	0.998	70000.0
33	220.49	5.065	31.582	5.362	0.004	0.995	90000.0
34	205.0	4.791	29.573	5.218	0.004	0.994	80000.0
35	218.653	4.424	32.393	4.875	0.003	0.996	110000.0
36	206.506	3.646	28.547	3.811	0.001	0.998	100000.0
37	225.06	4.92	31.799	5.202	0.003	0.995	120000.0
38	205.08	3.495	30.127	3.867	0.001	0.998	80000.0
39	219.255	4.105	30.465	4.299	0.002	0.997	50000.0
40	202.262	4.369	29.177	4.822	0.003	0.996	90000.0
41	190.957	3.733	27.043	3.91	0.002	0.998	150000.0
42	204.384	3.797	30.211	4.262	0.002	0.998	40000.0
43	209.973	3.944	28.962	4.144	0.002	0.998	100000.0
44	210.762	3.865	28.868	4.114	0.001	0.998	70000.0
45	202.014	4.263	30.332	4.838	0.002	0.996	100000.0
46	200.38	2.977	28.549	3.208	0.001	0.998	120000.0
47	189.817	4.21	27.202	4.571	0.003	0.996	80000.0
48	203.773	4.733	28.886	5.016	0.003	0.996	90000.0
49	194.271	3.315	28.657	3.669	0.001	0.998	100000.0
50	220.935	3.682	31.868	4.068	0.001	0.998	50000.0
51	207.803	4.16	30.667	4.651	0.002	0.996	40000.0
52	203.723	3.925	29.448	4.318	0.002	0.997	120000.0
53	196.133	3.569	28.841	3.933	0.002	0.997	110000.0
54	200.644	3.497	27.66	3.666	0.001	0.998	100000.0
55	204.589	4.672	29.105	5.084	0.002	0.996	140000.0
56	195.247	4.114	27.619	4.382	0.002	0.997	90000.0
