Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
HDF_FS1_p25	8224	1.0	181.535	2.207%	23.195	2.078%	0.00052	1.0
HDF_FS1_p35	2735	1.0	49.556	1.812%	6.734	1.837%	0.00032	1.0
HDF_FS1_p45	7303	1.0	173.015	2.369%	23.039	2.346%	0.00059	0.999
HDF_FS1_p55	22271	0.999	836.73	3.757%	116.937	3.857%	0.00136	0.998
HDF_FS1_p65	3948	0.998	280.782	7.112%	37.195	6.976%	0.00531	0.995
HDF_Fm2_p25	2526	1.0	42.844	1.696%	5.775	1.722%	0.00028	1.0
HDF_Fm2_p35	16140	1.0	307.698	1.906%	41.581	1.94%	0.00038	1.0
HDF_Fm2_p45	5940	1.0	151.192	2.545%	20.995	2.744%	0.00058	0.999
HDF_Fm2_p55	125050	1.0	2632.205	2.105%	360.575	2.125%	0.00037	0.999
HDF_Fm2_p65	108460	1.0	1935.187	1.784%	279.167	1.903%	0.00033	1.0
NU01_US2_p23	625	0.999	26.316	4.211%	3.748	4.377%	0.00203	0.998
NU01_US2_p25	711	0.999	30.546	4.296%	4.514	4.801%	0.00271	0.997
